id,pytanie,ilustracja,odpa,odpb,odpc,odp,uzasadnienie,model
85,Diody prostownicze są stosowane do:,,do eliminacji tętnień zasilacza,do prostowania prądu w zasilaczach,do stabilizacji napięć,b,"<p>b. do prostowania prądu w zasilaczach</p> <p>Diody prostownicze są wykorzystywane do przekształcania prądu przemiennego na prąd jednokierunkowy, co jest kluczowe w działaniu zasilaczy. Pozostałe odpowiedzi nie są całkiem nieprawdziwe, ale praca diody prostowniczej nie jest głównie skoncentrowana na eliminacji tętnień zasilacza (odpowiedź a) ani na stabilizacji napięć (odpowiedź c).</p>",gpt-4
86,Diody Zenera to diody:,,służące do stabilizacji napięć,świecące,na bardzo wysokie częstotliwości,System.Object[],"<p>Odpowiedź a. Diody Zenera służą do stabilizacji napięć</p> <p>Diody Zenera są używane jako stabilizatory napięć w obwodach elektronicznych. Wszystkie diody mają charakterystyki napięcie-prąd, gdzie prąd płynie jednym kierunku. Jednak dioda Zenera jest specyficzna, ponieważ jest zaprojektowana tak, aby działała w &quot;regionie Zenera&quot; - obszar na jej charakterystyce, gdzie napięcie jest niemal stałe dla szerokiego zakresu prądu. Jest to unikalne dla diod Zenera i dlatego są one używane jako stabilizatory napięcia.</p> <p>Opcje b. i c. są błędne, ponieważ diody świecące (LED) i diody na wysokie częstotliwości będą miały różne unikalne cechy i zastosowania, które nie są związane ze stabilizacją napięcia.</p>",gpt-4
87,Warikap to:,,dioda mikrofalowa,dioda pojemnościowa,dioda stabilizacyjna,b,"<p>a. dioda mikrofalowa</p> <p>Wybrałem tę odpowiedź, ponieważ warikap to specjalny typ diody półprzewodnikowej, która jest często używana w układach mikrofalowych do strojenia częstotliwości. Ta dioda wykorzystuje efekt zmienności pojemności spolaryzowanego złącza p-n w funkcji napięcia, co umożliwia precyzyjne strojenie częstotliwości w układach mikrofalowych.</p>",gpt-4
88,Lampa elektronowa pentoda posiada:,,pięć elektrod,cztery elektrody,trzy elektrody,a,"<p>Odpowiedź a. pięć elektrod</p> <p>Lampa elektronowa pentoda zawiera pięć elektrod: katodę, anodę, oraz trzy siatki - siatkę sterującą, siatkę ekranującą i siatkę hamującą. Nazwa tego rodzaju lampy pochodzi od greckiego słowa &quot;pente&quot;, które oznacza &quot;pięć&quot;.</p>",gpt-4
89,Cztery oporniki o wartościach 5 Ω zostały połączone szeregowo. Ile wynosi oporność zastępcza?,,10 Ω,20 Ω,40 Ω,b,"<p>W obwodzie szeregowym, opór zastępczy jest po prostu sumą wszystkich oporów, zatem dodamy 4 oporniki o wartości 5 Ω za pomocą Pythona.</p> <pre><code class=""language-python""># number of resistors<br />n = 4<br /><br /># resistance of each resistor<br />R = 5<br /><br /># total resistance for series connection<br />R_total = n * R<br />R_total </code></pre> <pre><code class=""language-python"">20 </code></pre> <p>Oporność zastępcza wynosi 20 Ω. Wybieram zatem odpowiedź (b). Jest to prawidłowa odpowiedź, ponieważ w przypadku połączenia szeregowego oporów, opór zastępczy jest równy sumie oporów wszystkich elementów.</p>",gpt-4
90,Ile oporników bezindukcyjnych o wartości 200 Ω należy połączyć równolegle by uzyskać sztuczne obciążenie antenowe 50 Ω?,,5 szt.,2 szt.,4 szt.,c,"<p>W przypadku połączenia oporników równolegle, całkowity opór obciążenia (R_t) liczony jest za pomocą wzoru:</p> <p>1 / R_t = 1 / R_1 + 1 / R_2 + ... + 1 / R_n</p> <p>gdzie R_1, R_2, ..., R_n to odpory poszczególnych oporników.</p> <p>Wiemy, że potrzebujemy uzyskać łączny opór (R_t) wynoszący 50 Ω, a każdy poszczególny opornik ma opór 200 Ω. Możemy użyć tego wzoru, aby obliczyć liczbę oporników (n) potrzebnych do uzyskania tego łącznego oporu.</p> <p>Zaczniemy od wyznaczenia wartości odwrotności oporu, czyli 1 / 50 Ω = 0.02 S (Siemensy, jednostka konduktancji). Teraz musimy obliczyć ile oporników o wartości 200 Ω musimy dodać równolegle aby uzyskać konduktancję równą 0.02 S.</p> <p>1 / 200 Ω = 0.005 S wynosi konduktancja jednego opornika. Dzieląc 0.02 S przez 0.005 S otrzymamy ilość potrzebnych oporników.</p> <pre><code class=""language-python""># calculate the number of resistors<br />Rt = 50 # total resistance we want to achieve<br />R = 200 # resistance of each resistor<br /><br /># conductance of Rt and R<br />Gt = 1 / Rt<br />G = 1 / R<br /><br /># calculate the number of resistors<br />n = Gt / G<br />n </code></pre> <pre><code class=""language-python"">4.0 </code></pre> <p>Poprawna odpowiedź to c. 4 szt. Potrzebujemy połączyć równolegle 4 oporniki o wartości 200 Ω, aby uzyskać łączny opór 50 Ω. Dzięki temu obliczaniu wynika z faktu, że łączna konduktancja systemu oporników połączonych równolegle (odwrotność rezystancji) jest sumą konduktancji indywidualnych oporników. Przy konduktancji 0.02 S (odpowiadającej rezystancji 50 Ω), każdy opornik o rezystancji 200 Ω ma konduktancję 0.005 S. Dzieląc łączną konduktancję przez konduktancję jednego opornika otrzymujemy liczbę oporników potrzebną do uzyskania żądanego oporu.</p>",gpt-4
91,Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?,A_1_091.png,prostownik dwupołówkowy,prostownik jednopołówkowy,prostownik mostkowy dwupołówkowy,System.Object[],,
92,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?  ",A_1_092.png,prostownik dwupołówkowy,prostownik jednopołówkowy,"prostownik mostkowy dwupołówkowy  ",,,
93,Wzmacniacz wzmacnia sygnały w zakresie od 100Hz do 10 kHz. Wzmacniacz ten nazywamy wzmacniaczem:,,niskiej częstotliwości,wzmacniaczem pośredniej częstotliwości,wzmacniaczem selektywnym,a,"<p>Odpowiedź a. niskiej częstotliwości</p> <p>Wybrałem tę opcję, ponieważ ze względu na wymienione zakresy częstotliwości (100Hz - 10 kHz), zdecydowanie kończą się w zakresie niskich częstotliwości. W radiotechnice, termin &quot;niskich częstotliwości&quot; odnosi się do zakresu częstotliwości od około 30Hz do 300kHz, dlatego dopasowane są tu wartości z pytania.</p> <p>Wzmacniacz pośredniej częstotliwości generalnie jest stosowany w odbiornikach radiowych i operuje na częstotliwościach od około 30kHz do 300 MHz, które nie są pokrywane tutaj. Wzmacniacz selektywny jest konkretny dla wzmacniania tylko określonej częstotliwości lub niewielkiego zakresu częstotliwości, co nie jest określone w pytaniu.</p>",gpt-4
94,Wzmacniacz jest przesterowany kiedy:,,ma za duże napięcie zasilania,ma za duże napięcie wejściowe,pracuje w klasie C,b,"<p>Odpowiedź: b. ma za duże napięcie wejściowe</p> <p>Wzmacniacz staje się przesterowany, kiedy napięcie wejściowe jest zbyt wysokie. Jest to stan, w którym maksymalna amplituda sygnału wejściowego jest większa niż wzmacniacz jest w stanie obsłużyć, co prowadzi do zniekształcenia sygnału wyjściowego. Inne parametry, takie jak napięcie zasilania czy klasa pracy wzmacniacza, nie powodują bezpośrednio przesterowania, chociaż mogą wpływać na ogólną wydajność i charakterystykę pracy urządzenia.</p>",gpt-4
95,W jakiej klasie powinien pracować wzmacniacz w.cz. do wzmacniania sygnału SSB?,,w klasie C,w klasie AB,impulsowo,b,"<p>b. w klasie AB</p> <p>Wybrałem tę odpowiedź, ponieważ wzmacniacze klasy AB są najbardziej odpowiednie do wzmacniania sygnałów o dużej dynamice, takich jak SSB (Single Side Band). Wzmacniacze w klasie C są stosowane głównie do przesyłania sygnałów o stałej amplitudzie, natomiast wzmacniacze impulsowe nie są idealne do precyzyjnego wzmacniania sygnałów SSB. Klasy wzmacniaczy oznaczają różne metody wzmacniania sygnałów, a klasa AB jest najbardziej uniwersalna i pozwala na największą linearność, która jest kluczowa przy wzmacnianiu sygnałów o szerokim zakresie dynamiki.</p>",gpt-4
96,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 1 to:",A_1_096.png,generator stabilizowany,komparator,dzielnik wzorca,a,,
97,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych, ale nieopisanych bloków. Blok 4 to:",A_1_097.png,dzielnik wzorca,generator wzorca,komparator,b,,
98,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 1 to:,A_1_098.png,filtr wejściowy,wzmacniacz akustyczny,detektor AM,a,,
99,Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 5 to:,A_1_099.png,heterodyna,wzmacniacz akustyczny,detektor AM,b,,
100,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 1 to:",A_1_100.png,wzmacniacz w.cz.,wzmacniacz akustyczny,detektor AM CW SSB,a,,
101,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 9 to:",A_1_101.png,wzmacniacz akustyczny,wzmacniacz pośredniej cz.,heterodyna,a,,
102,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 1 to:",A_1_102.png,filtr wejściowy,wzmacniacz akustyczny,heterodyna,a,,
103,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 2 to:",A_1_103.png,wzmacniacz akustyczny,I mieszacz,wzmacniacz II p.cz.,b,,
104,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 4 to:,A_1_105.png,filtr wyjściowy,wzmacniacz mocy (PA),separator,a,,
105,Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 1 to:,A_1_106.png,wzmacniacz mocy (PA),oscylator (VFO),separator,b,,
106,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 1 to:,A_1_107.png,wzmacniacz mocy (PA),"oscylator (VFO) 5 - 5,5 MHz",wzbudnica SSB 9 MHz,c,,
107,Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnic 9 MHz. Blok 2 to:,A_1_108.png,wzmacniacz sterujący,mieszacz,filtr wyjściowy,,,
108,Jaka jest horyzontalna charakterystyka promieniowania dipola półfalowego zawieszonego poziomo w wolnej przestrzeni?,,dookólna,ósemkowa,kierunkowa w linii zawieszenia,,"<p>Odpowiedź to a. dookólna.</p> <p>Dipol półfalowy zawieszony poziomie emituje promieniowanie we wszystkich kierunkach na płaszczyźnie prostopadłej do dipola, co jest znaną charakterystyką promieniowania dipola półfalowego. Charakterystyka ta jest opisywana jako dookólna. W przypadku dipola półfalowego, nie ma szczególnego kierunku, w którym jest najsilniejszy, ponieważ promieniuje on równomiernie we wszystkich kierunkach.</p> <p>Odpowiedzi b i c odnoszą się do charakterystyk promieniowania innych typów anten. Charakterystyka ósemkowa jest typowa dla anten kierunkowych, takich jak anteny Yagi. Charakterystyka kierunkowa w linii zawieszenia byłaby typowa dla anteny, która jest specjalnie zaprojektowana do kierowania promieniowania w określonym kierunku, co nie jest przypadkiem dla dipola półfalowego.</p>",gpt-4
109,Jaka jest horyzontalna charakterystyka promieniowania pionowej anteny ćwierćfalowej?,,dookólna,kierunkowa,w kształcie koniczyny,a,"<p>Odpowiedź a. Dookólna</p> <p>Pionowa antena ćwierćfalowa ze względu na swoją konstrukcję promieniuje falę radiową dookólnie w płaszczyźnie horyzontalnej, co oznacza, że może odbierać i nadawać sygnały z każdego kierunku. Jest to zwykle pożądane w aplikacjach komunikacyjnych, gdzie kierunek nadajnika nie jest z góry znany. Anteny kierunkowe (odpowiedź b) są projektowane do optymalizacji promieniowania w preferowanym kierunku i pominęcia innych. Kształt koniczyny (odpowiedź c) jest charakterystyczny dla anten typu dipol, które mają dwa &quot;płatki&quot; promieniowania ustawione pod kątem względem siebie.</p>",gpt-4
110,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 1 to:,A_1_111.png,reflektor,wibrator,I direktor,a,,
111,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 2 to:,A_1_112.png,wibrator,II direktor,reflektor,a,,
112,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 3 to:,A_1_113.png,wibrator,I direktor,II direktor,b,,
113,Na rysunku przedstawiona jest antena typu Yagi-Uda. Element 4 to:,A_1_114.png,I direktor,II direktor,wibrator,b,,
114,W jakim przypadku powstaje w linii przesyłowej w.cz. fala stojąca?,,kiedy kabel nie jest ułożony prosto,kiedy obok kabla koncentrycznego przechodzi inny kabel,kiedy impedancja obciążenia nie jest zgodna z impedancją falową kabla,c,"<p>Odpowiedź c. Fala stojąca powstaje, gdy impedancja obciążenia nie jest zgodna z impedancją falową kabla.</p> <p>Impedancja jest ważna w transmisji sygnałów ponieważ zapewnia optymalne przesyłanie energii. Jeżeli impedancja obciążenia nie jest zgodna z impedancją falową kabla (czyli kiedy resistancja nie jest równa reaktancji), cz część energii jest odbijana z powrotem do źródła, powodując interferencję i tworząc falę stojącą.</p>",gpt-4
115,Jak nazywa się przyrząd do mierzenia współczynnika fali stojącej?,,rezystomierz,reflektometr,refraktometr,b,"<p>b. reflektometr</p> <p>Reflektometr jest urządzeniem używanym do mierzenia parametrów transmisji, w tym współczynnika fali stojącej. Pozwala to na ocenę stopnia dopasowania anteny do linii przesyłowej. Pozostałe opcje (rezystomierz i refraktometr) są używane do pomiaru innych parametrów - rezystancji i współczynnika załamania światła.</p>",gpt-4
116,"Reflektometr wskazuje, że amplituda fali padającej jest równa amplitudzie fali odbitej. Współczynnik fali stojącej równy jest nieskończoności. Co może być przyczyną takiego stanu?",,zwarcie lub przerwa w kablu,niewielka zmiana oporności falowej anteny,zamoczenie izolacji w kablu,a,"<p>a. zwarcie lub przerwa w kablu</p> <p>Reflektometr to urządzenie używane do mierzenia parametrów linii transmisyjnej, takich jak oporność falowa, współczynnik odbicia i współczynnik fali stojącej. Jeżeli amplituda fali padającej jest równa amplitudzie fali odbitej, oznacza to, że cała energia fali jest odbijana z powrotem do źródła. Współczynnik fali stojącej nieskończoności oznacza, że nie ma fali idącej w przeciwnym kierunku, co zazwyczaj jest wynikiem zwarcia lub przerwania w linii transmisyjnej. Niewielka zmiana oporności falowej anteny lub zamoczenie izolacji w kablu zazwyczaj nie powoduje tak drastycznego zjawiska.</p>",gpt-4
117,Niesymetryczny kabel koncentryczny 50 om do symetrycznej anteny o oporności falowej 50Ω najlepiej połączyć za pomocą:,,ununa 9:1,baluna 1:1 (symetryzatora),baluna 1:2,,"<p>Najlepszym wyborem będzie balun 1:1 (symetryzator).</p> <p>Baluny są używane do przekształcania linii niesymetrycznych (takich jak kabel koaksjalny) na symetryczne (takie jak antena) i na odwrót. Stosunek baluna odwołuje się do stosunku impedancji na obu końcach baluna. W tym przypadku impedancja kabla koaksjalnego (50 Ω) jest równa impedancji anteny (50 Ω), więc stosunek baluna to 1:1.</p> <p>Inne odpowiedzi są niepoprawne. Unun 9:1 służy do przekształcania bardzo dużej różnicy impedancji, a balun 1:2 do przekształcania z impedancji niesymetrycznej do symetrycznej o dwa razy większej wartości.</p>",gpt-4
118,Czy stan jonosfery ma wpływ na rozchodzenie się fal krótkich?,,słaby,"tylko okresowo, w dzień",ma bardzo duży wpływ,c,"<p>Odpowiedź c. Ma bardzo duży wpływ</p> <p>Stan jonosfery ma znaczny wpływ na rozchodzenie się fal krótkich. Gęstość jonów i wolnych elektronów w jonosferze modyfikuje prędkość fali, co prowadzi do jej odbicia i refrakcji. Dzięki temu fale krótkie mogą podróżować na duże odległości. Przemienne warstwy o różnej gęstości jonowej wpływają również na to, jak daleko może przebyć fala.</p>",gpt-4
119,Około 11-letnie cykle zmian propagacji związane są z:,,cyklem słonecznym,cyklem przebiegunowania Ziemi,fluktuacjami średniego poziomu morza,a,"<p>Odpowiedź: a. cyklem słonecznym</p> <p>Cykl słoneczny to około 11-letni cykl aktywności na Słońcu, którego jednym z objawów są plamy słoneczne. Promieniowanie słoneczne ma kluczowe znaczenie dla propagacji fal radiowych w atmosferze Ziemi. Więc, cykl słoneczny ma wpływ na warunki propagacji fal radiowych, stąd oznaczane są jako &quot;cykle zmian propagacji&quot;. Więc wybrałem tą odpowiedź.</p>",gpt-4
